protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(F)ccc1OC,Ki,2203,5.656985503
Dopamine RECEPTOR D5,8IRV,Cc1ccc(nc1)N1CCN(CCCSc2ccc(F)cc2)CC1,Ki,2159,5.665747358
Dopamine RECEPTOR D5,8IRV,Cl.CN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1c1cc(F)ccc1OCCF,Ki,2154,5.666754301
Dopamine RECEPTOR D5,8IRV,CC(C)(C)C#Cc1ccc2OC(C(=Cc2c1)[N+]([O-])=O)C(F)(F)F,Ki,2100,5.677780705
Dopamine RECEPTOR D5,8IRV,OC(=O)c1ccc(cc1)C#Cc1ccc2OC(C(=Cc2c1)[N+]([O-])=O)C(F)(F)F,Ki,2100,5.677780705
Dopamine RECEPTOR D5,8IRV,Cl.CCN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1c1cc(F)ccc1OCCF,Ki,1995,5.7000571
Dopamine RECEPTOR D5,8IRV,Cl.CCN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1c1cc(F)ccc1OC,Ki,1848,5.733298033
Dopamine RECEPTOR D5,8IRV,CN1CCCc2cc3OCOc3cc2-c2ccccc2CC1,Ki,1812,5.741841807
Dopamine RECEPTOR D5,8IRV,CN1CCCc2cc(O)ccc2Cc2ccccc2C1,Ki,1810,5.742321425
Dopamine RECEPTOR D5,8IRV,Fc1ccc(CCCCN2CCN(CC2)c2ccc(Cl)cc2)cc1,Ki,1758,5.754981129
Dopamine RECEPTOR D5,8IRV,FC(F)(F)c1cccc(c1)N1CCN(CCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,Ki,1756,5.755475488
Dopamine RECEPTOR D5,8IRV,FC(F)(F)c1cccc(c1)N1CCN(CCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,Ki,1756,5.755475488
Dopamine RECEPTOR D5,8IRV,Cl.CCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(F)ccc1OC,Ki,1721,5.76421913
Dopamine RECEPTOR D5,8IRV,FC(F)(F)c1cccc(c1)N1CCN(CCCCn2cnc3ccccc3c2=O)CC1,Ki,1703,5.768785352
Dopamine RECEPTOR D5,8IRV,O=C1N(CCCCN2CCN(CC2)c2ccccc2)S(=O)(=O)c2ccccc12,Ki,1629,5.788078916
Dopamine RECEPTOR D5,8IRV,O=C1N(CCCCN2CCN(CC2)c2ccccc2)S(=O)(=O)c2ccccc12,Ki,1629,5.788078916
Dopamine RECEPTOR D5,8IRV,CCCCN1CCC(C1)c1cccc(O)c1,Ki,1613,5.792365633
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,1600,5.795880017
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,1600,5.795880017
Dopamine RECEPTOR D5,8IRV,[O-][N+](=O)C1=Cc2cc(I)ccc2OC1C(F)(F)F,Ki,1600,5.795880017
Dopamine RECEPTOR D5,8IRV,Cl.CCOc1ccc(F)cc1C1CC1CN(CC)CCCSc1nnc(-c2ccccc2)n1C,Ki,1585,5.799970733
Dopamine RECEPTOR D5,8IRV,CCN(CC)CCCC(C)Nc1cnc(cn1)C(=O)Nc1ccc(Cl)c2cccnc12,Ki,1552,5.809108283
Dopamine RECEPTOR D5,8IRV,C1Cc2ccccc2C2N1CCc1cccc3[nH]cc2c13,Ki,1525,5.816730156
Dopamine RECEPTOR D5,8IRV,Clc1ccc(cc1)N1CCCN(CCCc2cc3ccccc3o2)CC1,Ki,1522,5.817585348
Dopamine RECEPTOR D5,8IRV,OCCOCCN1CCN(CC1)C1=Nc2ccccc2Sc2ccccc12,Ki,1513,5.820161072
Dopamine RECEPTOR D5,8IRV,COc1ccc2CCc3ccccc3CN(C)CCc2c1,Ki,1508,5.821598658
Dopamine RECEPTOR D5,8IRV,Fc1ccc(CCCCN2CCN(CC2)c2ccccn2)cc1,Ki,1451,5.838332588
Dopamine RECEPTOR D5,8IRV,OC(=O)c1cc(-c2ccc(cc2)C2CCN(CC2)C=O)c2ccc(cc2c1)-c1ccc(cc1)C(F)(F)F,Ki,1440,5.841637508
Dopamine RECEPTOR D5,8IRV,[O-][N+](=O)C1=Cc2cc(ccc2OC1C(F)(F)F)C#CCN1C(=O)c2ccccc2C1=O,Ki,1400,5.853871964
Dopamine RECEPTOR D5,8IRV,Fc1ccc(SCCCN2CCN(CC2)c2ncccn2)cc1,Ki,1370,5.863279433
Dopamine RECEPTOR D5,8IRV,CCCN(CCN1CCN(CCc2c[nH]c3ccccc23)CC1)c1ccc(Br)cc1,Ki,1300,5.886056648
Dopamine RECEPTOR D5,8IRV,O=C(NCCCCN1C[C@@H]2COc3ccc(cc3[C@H]2C1)C#N)c1ccc(cc1)-c1ccccc1,Ki,1259,5.89997427
Dopamine RECEPTOR D5,8IRV,CC(C)(C)OC(=O)NCC#Cc1ccc2OC(C(=Cc2c1)[N+]([O-])=O)C(F)(F)F,Ki,1250,5.903089987
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,Ki,1223,5.912573543
Dopamine RECEPTOR D5,8IRV,Cl.COc1ccc(F)cc1C1CC1CN(CCCSc1nnc(-c2ccccc2)n1C)CC1CC1,Ki,1204,5.919373513
Dopamine RECEPTOR D5,8IRV,OC(=O)c1ccccc1C(=O)Nc1cccc2ccccc12,Ki,1136,5.944621669
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,Ki,1132,5.946153573
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCCN2C(=O)c3ccccc3S2(=O)=O)CC1,Ki,1132,5.946153573
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1ccc2ccccc2c1)CC1CC1c1cc(Cl)ccc1OC,Ki,1104,5.957030927
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,1100,5.958607315
Dopamine RECEPTOR D5,8IRV,CC(=O)NCC#Cc1ccc2OC(C(=Cc2c1)[N+]([O-])=O)C(F)(F)F,Ki,1100,5.958607315
Dopamine RECEPTOR D5,8IRV,Cl.Cn1c(SCCCNCC2CC2c2cc(F)ccc2OCCF)nnc1-c1ccccc1,Ki,1080,5.966576245
Dopamine RECEPTOR D5,8IRV,CN1CCc2ccccc2Cc2cc(O)c(O)cc2CC1,Ki,1078,5.967381239
Dopamine RECEPTOR D5,8IRV,NCCCCCCn1cc(CCCCN2CCC(CC2)c2ccc(cc2)-c2cc(cc3cc(ccc23)-c2ccc(cc2)C(F)(F)F)C(O)=O)nn1,Ki,1070,5.970616222
Dopamine RECEPTOR D5,8IRV,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl,Ki,1051,5.978397284
Dopamine RECEPTOR D5,8IRV,COc1ccc2CCN(C)CCc3ccccc3Cc2c1,Ki,1050,5.978810701
Dopamine RECEPTOR D5,8IRV,COc1cccc2c3CCN(CCCCOc4ccc5ccc(=O)[nH]c5c4)Cc3oc12,Ki,1038,5.983802646
Dopamine RECEPTOR D5,8IRV,CCCN(CCC)C1CCc2cc(CS(=O)(=O)c3ccc(OC)cc3)ccc2C1,Ki,1000,6
Dopamine RECEPTOR D5,8IRV,CCc1c(nn(c1-c1ccc(Br)cc1)-c1ccc(Cl)cc1Cl)C(=O)NN1CCCCC1,Ki,1000,6
Dopamine RECEPTOR D5,8IRV,C[C@H]1C[C@@H](C)N1C(=O)[C@H]1CN(C)C2Cc3c[nH]c4cccc(C2=C1)c34,Ki,1000,6
Dopamine RECEPTOR D5,8IRV,COc1ccccc1N1CCN(CCCNC(=O)NN(Cc2ccc(F)cc2)c2ccccc2)CC1,Ki,1000,6
Dopamine RECEPTOR D5,8IRV,Cl.COc1ccc(F)cc1C1CC1CN(C)CCCSc1nnc(-c2ccccc2)n1C,Ki,1000,6
Dopamine RECEPTOR D5,8IRV,CCCN(CCc1cccs1)C1CCc2c(O)cccc2C1,Ki,986,6.006123085
Dopamine RECEPTOR D5,8IRV,CCCCN1CCC(COC(=O)c2cc(Cl)c(NC)c3OCCOc23)CC1,Ki,972,6.012333735
Dopamine RECEPTOR D5,8IRV,C(CN1CCCC1)Oc1ccccc1Cc1ccccc1,Ki,951,6.021819483
Dopamine RECEPTOR D5,8IRV,FC(F)(F)c1cccc(c1)\N=C1\C(=O)N(c2ccccc12)c1cccc(OCCN2CCCC2)c1,Ki,939,6.027334408
Dopamine RECEPTOR D5,8IRV,Cl.COc1ccc(F)cc1C1CC1CNCCCSc1nnc(-c2ccccc2)n1C,Ki,926,6.033389013
Dopamine RECEPTOR D5,8IRV,Clc1ccc2Nc3ccccc3C(=Nc2c1)N1CCN(Cc2ccc(OCCCN3CCCCC3)cc2)CC1,Ki,921,6.03574037
Dopamine RECEPTOR D5,8IRV,CCCN1C[C@H](CSC)C[C@H]2[C@H]1Cc1c[nH]c3cccc2c13,Ki,918,6.037157319
Dopamine RECEPTOR D5,8IRV,O=C1CCCCCNC(=O)CCCCCN1,Ki,909,6.041436117
Dopamine RECEPTOR D5,8IRV,C(C1CC1)N1CCc2c(Cc3ccccc3CC1)[nH]c1ccccc21,Ki,893,6.049148541
Dopamine RECEPTOR D5,8IRV,Fc1ccc(OCCCN2CCC(CC2)c2ccc(Cl)cc2)cc1,Ki,867,6.061980903
Dopamine RECEPTOR D5,8IRV,Oc1ccc(cc1)C1CNCCc2c(Cl)c(O)c(O)cc12,Ki,800,6.096910013
Dopamine RECEPTOR D5,8IRV,Cl.CCCN(CCCCNC(=O)c1cc2ccccc2[nH]1)CC1CC1c1cc(F)ccc1OC,Ki,789,6.102922997
Dopamine RECEPTOR D5,8IRV,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12,Ki,780,6.107905397
Dopamine RECEPTOR D5,8IRV,OC1(CCN(CCCCN(c2ccc(F)cc2)c2ccc(F)cc2)CC1)c1ccc(Cl)c(c1)C(F)(F)F,Ki,744,6.128427064
Dopamine RECEPTOR D5,8IRV,CCCCn1cc(CCCOc2ccc(cc2OC)C(=O)NCCCCN(CCC)[C@H]2CCc3c(O)cccc3C2)nn1,Ki,700,6.15490196
Dopamine RECEPTOR D5,8IRV,CN1CCc2ccccc2Cc2[nH]c3ccccc3c2CC1C(O)=O,Ki,657,6.18243463
Dopamine RECEPTOR D5,8IRV,CCCCCCN1CCC(C1)c1cccc(O)c1,Ki,640,6.193820026
Dopamine RECEPTOR D5,8IRV,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,Ki,631,6.199970641
Dopamine RECEPTOR D5,8IRV,COc1ccc(cc1)N(CCCCN1CCC(O)(CC1)c1ccc(Cl)c(c1)C(F)(F)F)c1ccc(OC)cc1,Ki,623,6.205511953
Dopamine RECEPTOR D5,8IRV,C(CN1CCN(CC1)c1ccccc1)Oc1ccccc1Cc1ccccc1,Ki,620,6.207608311
