protein,PDB ID,SMILES,Affinity Type,Affinity,pAffinity
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(CN=O)cccc21,Ki,4370,5.359518563
Dopamine RECEPTOR D4,8IRU,CN(Cc1ccc(cc1)[C@H]1CN(C)CCc2cc(Cl)c(O)cc12)S(=O)(=O)c1ccccc1,Ki,4331,5.363411816
Dopamine RECEPTOR D4,8IRU,Cc1sc(C)c-2c1CCCc1nncn-21,Ki,4325,5.364013888
Dopamine RECEPTOR D4,8IRU,Cn1nnc(n1)-c1ccc2n(cc(C3CCN(CCN4CCNC4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,4300,5.366531544
Dopamine RECEPTOR D4,8IRU,CN[C@@H]1Cc2cc(O)c(F)cc2[C@H]1c1ccccc1,Ki,4300,5.366531544
Dopamine RECEPTOR D4,8IRU,COc1cc2C[C@H]([C@@H](c2cc1F)c1ccccc1)N(C)C,Ki,4300,5.366531544
Dopamine RECEPTOR D4,8IRU,Fc1ccc(COC2CCN(Cc3ccc4[nH]cnc4c3)CC2)cc1F,Ki,4280,5.368556231
Dopamine RECEPTOR D4,8IRU,Fc1ccc(COC2CCN(Cc3ccc4[nH]cnc4c3)CC2)cc1F,Ki,4280,5.368556231
Dopamine RECEPTOR D4,8IRU,Oc1ccc2Cc3ccccc3CCNCCCc2c1,Ki,4256,5.370998381
Dopamine RECEPTOR D4,8IRU,COc1cc(N(C)C(C)=O)c(Cl)cc1C(=O)NC[C@@H]1CCN(Cc2ccccc2)C1,Ki,4200,5.37675071
Dopamine RECEPTOR D4,8IRU,Fc1ccc(cc1)C(SCCNC1CCN(CC1)C(=O)c1ccccc1)c1ccc(F)cc1,Ki,4110,5.386158178
Dopamine RECEPTOR D4,8IRU,O[C@H](CCNC(=O)c1cc2ccccc2[nH]1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,4000,5.397940009
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCCNC(=O)c3cccc4C(=O)c5ccccc5-c34)CC2)c1Cl,Ki,3990,5.399027104
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@@H]2[C@@H]1CCc1c(O)cccc21,Ki,3987,5.399353764
Dopamine RECEPTOR D4,8IRU,OC(C1CCN(CCc2ccccc2)CC1)c1ccccc1,Ki,3934,5.405165644
Dopamine RECEPTOR D4,8IRU,COC(=O)C1(CCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,Ki,3930,5.40560745
Dopamine RECEPTOR D4,8IRU,OC1(Cc2ccc(Cl)cc2)CCN(Cc2c[nH]c3ccccc23)CC1,Ki,3930,5.40560745
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CC2)C(=O)CCCCNCCC(C#N)(c2ccccc2)c2ccccc2)c1Cl,Ki,3930,5.40560745
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCC(CC1)=C(C#C)C#C,Ki,3900,5.408935393
Dopamine RECEPTOR D4,8IRU,COc1cc2CCN(Cc3ccccc3CNC(=O)c3ccccc3Cl)Cc2cc1O,Ki,3900,5.408935393
Dopamine RECEPTOR D4,8IRU,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,Ki,3872,5.412064651
Dopamine RECEPTOR D4,8IRU,OC1(CCCN(Cc2c[nH]c3ccccc23)CC1)c1ccc(Cl)cc1,Ki,3870,5.412289035
Dopamine RECEPTOR D4,8IRU,Clc1ccc(CN2CCN(CC2)C(=O)CN2CCc3ccccc23)cc1,Ki,3854,5.41408829
Dopamine RECEPTOR D4,8IRU,CC(O)CN1CCN(CC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,3820,5.417936637
Dopamine RECEPTOR D4,8IRU,CC(O)CN1CCN(CC[S+]([O-])C(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,3820,5.417936637
Dopamine RECEPTOR D4,8IRU,O[C@@H]1[C@@H]2CCC[C@]1(CCN2CCCCNC(=O)c1cc2ccccc2[nH]1)c1cccc(O)c1,Ki,3810,5.419075024
Dopamine RECEPTOR D4,8IRU,CCCN(CCC)C1CCC(=CC1)C#C[Si](C)(C)C,Ki,3800,5.420216403
Dopamine RECEPTOR D4,8IRU,CN1CCCc2ccccc2Cc2cc(O)ccc2CC1,Ki,3751,5.425852936
Dopamine RECEPTOR D4,8IRU,OC1(CCN(Cc2c[nH]c3ccccc23)CC1)c1cccc(c1)C(F)(F)F,Ki,3750,5.425968732
Dopamine RECEPTOR D4,8IRU,COc1cc2CCN3Cc4c(C[C@H]3c2cc1O)ccc(O)c4OC,Ki,3748,5.426200418
Dopamine RECEPTOR D4,8IRU,CNC(=O)c1ccc2[C@H](CCN3CCN(CC3)c3ccc(OC)cc3)OCCc2c1,Ki,3704,5.431329022
Dopamine RECEPTOR D4,8IRU,O=C1C[C@@H](CN2CCN(CC2)c2ccccc2)NC(=N1)c1ccccc1,Ki,3700,5.431798276
Dopamine RECEPTOR D4,8IRU,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC,Ki,3690,5.432973634
Dopamine RECEPTOR D4,8IRU,OC(CCNC(=O)c1ccc2Cc3ccccc3-c2c1)CN1CCN(CC1)c1cccc(Cl)c1Cl,Ki,3670,5.435333936
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCCCNC(=O)c3ccc-4c(Cc5ccccc-45)c3)CC2)c1Cl,Ki,3670,5.435333936
Dopamine RECEPTOR D4,8IRU,OCc1cnn2cccc(CN3CCN(CC3)c3ccc(Cl)cc3)c12,Ki,3600,5.443697499
Dopamine RECEPTOR D4,8IRU,Cn1cnc(n1)-c1ccc2n(cc(C3CCN(CCn4c(=O)[nH]c5ccccc5c4=O)CC3)c2c1)-c1ccc(F)cc1,Ki,3600,5.443697499
Dopamine RECEPTOR D4,8IRU,Clc1cccc(N2CCN(CCCCNC(=O)c3cc4ccccc4s3)CC2)c1Cl,Ki,3600,5.443697499
Dopamine RECEPTOR D4,8IRU,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1,Ki,3560,5.448550002
Dopamine RECEPTOR D4,8IRU,CCCn1ncc2CCCc3c(Cl)sc(Cl)c3-c12,Ki,3548,5.450016389
